brand,name,type,country,ingredients,afterUse
Chanel,COCO MADEMOISELLE Foaming Shower Gel,Bath & Body,France,"[Water,Sodium Laureth Sulfate,Parfum,Ppg-26-Buteth-26,Cocamidopropyl Betaine,Propylene Glycol,Peg-40 Hydrogenated Castor Oil,Polyquaternium-10,Sodium Chloride,Linalool,Citric Acid,Tetrasodium EDTA,Octocrylene,Limonene,Homosalate,Benzyl Salicylate,Butyl Methoxydibenzoylmethane,Geraniol,Citronellol,Hexyl Cinnamal,Coumarin,Benzyl Alcohol,Tocopherol,Methylisothiazolinone,Helianthus Annuus Seed Oil,Phenoxyethanol,Ci 14700,Ci 19140]","[Reduces Large Pores,Anti-Aging,Scar Healing,Brightening,Drying,Acne Trigger,Irritating,Rosacea,Eczema]"
Hello Bello,Extra Gentle Shampoo & Body Wash - Fragrance-Free,Bath & Body,United States,"[Water,Sodium Laurylglucosides Hydroxypropylsulfonate,Cocamidopropyl Hydroxysultaine,Coco-Glucoside,Sodium Methyl Cocoyl Taurate,Glycerin,Glyceryl Caprylate,Caprylhydroxamic Acid,Sodium Lauroyl Oat Amino Acids,Helianthus Annuus Seed Oil,Aloe Barbadensis Leaf Juice,Simmondsia Chinensis Seed Oil,Camellia Sinensis Extract,Calendula Officinalis Flower Extract,Avena Sativa Straw Extract,Citric Acid]",[Reduces Irritation]
Victoria’s Secret,Berry Glow-Boosting Body Scrub with Vitamin E,Bath & Body,United States,"[Water,Sodium Laureth Sulfate,Ricinus Communis Seed Oil,Cocamidopropyl Betaine,Parfum,Pumice,Disodium Laureth Sulfosuccinate,Sodium Chloride,Glycerin,Fragaria Vesca Fruit Extract,Sodium Hydroxide,Citric Acid,Vaccinium Angustifolium Seed,Vaccinium Macrocarpon Seed,Punica Granatum Seed,Disodium EDTA,BHA,Vaccinium Myrtillus Fruit Extract,Magnesium Nitrate,Saccharum Officinarum Extract,Tocopheryl Acetate,Polyquaternium-7,Citrus Limon Fruit Extract,Citrus Aurantium Dulcis Fruit Extract,Acer Saccharum Extract,Methylchloroisothiazolinone,Magnesium Chloride,Methylisothiazolinone,Butylene Glycol,Limonene,Linalool,Hexyl Cinnamal]","[Reduces Large Pores,Brightening,Drying,Acne Trigger,Irritating,Eczema]"
Soap & Glory,Mist You Madly The Daily Smooth Body Lotion,Bath & Body,United Kingdom,"[Water,Paraffinum Liquidum,Glycerin,Isostearyl Isostearate,Dimethicone,Steareth-21,Cetearyl Alcohol,Butylene Glycol,Petrolatum,Steareth-2,Prunus Amygdalus Dulcis Oil,Sodium Polyacrylate,Phenoxyethanol,Parfum,Butyrospermum Parkii Butter,Polysorbate 20,Theobroma Cacao Seed Butter,Caprylyl Glycol,Dipropylene Glycol,Lactic Acid,Mangifera Indica Fruit Extract,Ethylhexylglycerin,Sodium Benzoate,Rosa Canina Fruit Oil,Xanthan Gum,Limonene,Alpha-Isomethyl Ionone,Butylphenyl Methylpropional,Linalool,Tetrasodium EDTA,Coumarin,Citronellol,Citrus Nobilis Peel Oil,Benzyl Alcohol,Dehydroacetic Acid,Ci 19140,Ci 15985]","[Reduces Large Pores,Anti-Aging,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea,Eczema]"
Everyone,3-in-1 Soap - Unscented,Bath & Body,United States,"[Water,Cocamidopropyl Hydroxysultaine,Sodium Coco-Sulfate,Caprylyl/Capryl Glucoside,Sodium Chloride,Coco-Glucoside,Panthenol,Aloe Barbadensis Leaf Juice,Chamomilla Recutita Flower Extract,Calendula Officinalis Flower Extract,Camellia Sinensis Leaf Extract,Glycerin,Citric Acid,Sodium Phytate,Phenoxyethanol,Benzyl Alcohol,Potassium Sorbate,Lavandula Hybrida Oil,Tocopherol]","[Reduces Irritation,Reduces Large Pores,Brightening,Drying,Acne Trigger,Irritating]"
Earth Therapeutics,Tea Tree Foot Peeling Spray,Bath & Body,United States,"[Water,Alcohol Denat.,Glycerin,Carbomer,Isostearamidopropyl Ethyldimonium Ethosulfate,Propylene Glycol,Trehalose,Phenoxyethanol,Melaleuca Alternifolia Leaf Extract,Aloe Barbadensis Leaf Extract,Peg-60 Hydrogenated Castor Oil,Rosmarinus Officinalis Flower Extract,Lavandula Angustifolia Flower Extract,Jasminum Officinale Extract,Chrysanthemum Indicum Flower Extract,Anthemis Nobilis Flower Extract,Parfum,Menthol,Ethylhexylglycerin,Disodium EDTA,Urea,Butylene Glycol,1,2-Hexanediol,Xylitylglucoside,Anhydroxylitol,Xylitol,Tocopherol,Glucose]","[Good For Oily Skin,Brightening,Rosacea]"
LUSH,Pansy,Bath & Body,United Kingdom,"[Olivine Extract,Helianthus Annuus Seed Oil,Glycerin,Aloe Barbadensis Leaf Juice,Theobroma Cacao Seed Butter,Stearic Acid,Illipe Butter,Triethanolamine,Simmondsia Chinensis Seed Oil,Citrus Aurantium Bergamia Fruit Oil,Rosa Damascena Flower Oil,Ferula Galbaniflua Resin Oil,Oenothera Biennis Oil,Carthamus Tinctorius Seed Oil,Glyceryl Stearate,Alpha-Isomethyl Ionone,Benzyl Alcohol,Benzyl Benzoate,Citral,Coumarin,Evernia Prunastri Extract,Farnesol,Geraniol,Hexyl Cinnamal,Hydroxycitronellal,Limonene,Linalool]","[Reduces Irritation,May Worsen Oily Skin,Acne Trigger]"
Dr. Squatch,Deep Sea Goats Milk Bar Soap,Bath & Body,United States,"[Goat Milk,Parfum,Butyrospermum Parkii Butter,Avena Sativa Kernel Meal,Kaolin,Sea Salt]",[Drying]
fur,Shave Cream,Bath & Body,United States,"[Water,Sodium Cocoyl Isethionate,Cocamidopropyl Betaine,Stearic Acid,Decyl Glucoside,Glycerin,Gluconolactone,Cetyl Alcohol,Aloe Barbadensis Leaf Juice,Sorbitol,Cetearyl Alcohol,Saccharide Isomerate,Althaea Officinalis Root Extract,Butyrospermum Parkii Butter,Olea Europaea Fruit Oil,Cannabis Sativa Seed Oil,Allantoin,Bisabolol,Lavandula Angustifolia Oil,Salvia Sclarea Oil,Citrus Limon Peel Oil,Triheptanoin,C13-16 Isoparaffin,Hydroxyethylcellulose,Sodium Benzoate,Sodium Hydroxide,Limonene]","[Hydrating,Reduces Irritation,May Worsen Oily Skin,Acne Trigger]"
Rainbow Beauty,Anti-Blemish Body Serum Moisturizer,Bath & Body,United States,"[Water,Propanediol,Caprylic/Capric Triglyceride,Simmondsia Chinensis Seed Oil,Butylene Glycol,Xanthan Gum,Phenoxyethanol,Sodium Benzoate,Aloe Barbadensis Leaf Juice,Collagen,Aroma,Hexyl Cinnamal,Tocopherol,Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde,Vinyl Cyclohexene Carboxaldehyde,Benzyl Salicylate,Butylphenyl Methylpropional,Benzyl Alcohol,BHA,Eugenol]","[Anti-Aging,Scar Healing,Brightening,Irritating]"
